Entry,Label
P0ABK2,7.1.1.7
B5ZZ10,4.3.2.3
O68109,4.3.2.3
A1V517,4.3.2.3
Q92UG4,4.3.2.3
P32459,4.3.2.3
Q7VNV1,3.5.4.4
A0A0K1SC59,3.5.4.4
B4EVZ1,3.5.4.4
A5I0I2,3.5.4.4
Q3IF68,3.5.4.4
Q08853,7.2.2.10
Q4WND5,7.2.2.10
P92939,7.2.2.10
O55143,7.2.2.10
Q37145,7.2.2.10
B0R7K0,2.4.2.9
Q9RU32,2.4.2.9
O67914,2.4.2.9
Q4JAV0,2.4.2.9
Q2S320,2.4.2.9
O14145,3.1.3.12
Q1W5S8,3.1.3.12
Q8SSL0,3.1.3.12
Q6H5L4,3.1.3.12
Q9HIW7,3.1.3.12
B0U1J8,2.7.1.2
Q1QZ16,2.7.1.2
Q1BYA7,2.7.1.2
P58616,2.7.1.2
Q5P8D4,2.7.1.2
A5VQC8,2.7.7.77
A5W2U1,2.7.7.77
Q11FK9,2.7.7.77
Q48JU8,2.7.7.77
Q9ZL74,2.7.7.77
Q9K266,2.5.1.145
Q89AC7,2.5.1.145
Q9PKE2,2.5.1.145
Q8A337,2.5.1.145
B8ENH3,2.5.1.145
P37197,1.11.1.5
A0A391NGM7,1.11.1.5
P0DV69,1.11.1.5
P14532,1.11.1.5
A0A391NKV7,1.11.1.5
Q50L43,3.1.1.4
Q50L41,3.1.1.4
P07297,3.1.1.4
Q9TWL9,3.1.1.4
Q9EPR2,3.1.1.4
A8FEM3,5.3.3.2
A7IMW3,5.3.3.2
A5VK00,5.3.3.2
Q8DJ26,5.3.3.2
A0PL81,5.3.3.2
Q05539,3.2.1.14
Q41596,3.2.1.14
H2A0L5,3.2.1.14
Q9M2U5,3.2.1.14
P29021,3.2.1.14
Q98267,3.6.1.15
Q9Q8L4,3.6.1.15
P24486,3.6.1.15
Q9YW39,3.6.1.15
Q3TCT4,3.6.1.15
B8ZRH2,2.7.1.23
Q9YD08,2.7.1.23
Q3IKR4,2.7.1.23
P65770,2.7.1.23
A5VJ17,2.7.1.23
Q9NBX4,2.7.7.49
P0DV59,2.7.7.49
P21329,2.7.7.49
Q47526,2.7.7.49
P23071,2.7.7.49
P80900,1.2.7.1
O05650,1.2.7.1
Q57717,1.2.7.1
P80521,1.2.7.1
O27772,1.2.7.1
Q9W4N2,2.1.1.57
A8XYX2,2.1.1.57
Q38AH0,2.1.1.57
P41469,2.1.1.57
Q4E123,2.1.1.57
B2AE04,3.2.1.91
P0C2S1,3.2.1.91
P50401,3.2.1.91
P50899,3.2.1.91
B2AC20,3.2.1.91
P15043,5.6.2.4
B0R7Q2,5.6.2.4
Q9YFQ8,5.6.2.4
O94762,5.6.2.4
O26901,5.6.2.4
Q9M8T9,2.3.1.48
Q06592,2.3.1.48
Q07794,2.3.1.48
P34545,2.3.1.48
P62915,2.3.1.48
Q7VE16,3.1.2.28
A2CDA0,3.1.2.28
Q46HJ9,3.1.2.28
A9BD34,3.1.2.28
A2BNW8,3.1.2.28
Q6CWT7,3.6.1.10
Q5KH67,3.6.1.10
Q9C1W8,3.6.1.10
Q756F2,3.6.1.10
Q6CEE7,3.6.1.10
Q92L99,2.3.1.31
A1A3D2,2.3.1.31
E3H7X6,2.3.1.31
A5N8M0,2.3.1.31
Q31RB6,2.3.1.31
Q93GX3,3.1.4.46
O30405,3.1.4.46
Q9FGT9,3.1.4.46
D5V0N9,3.1.4.46
E3GCF1,3.1.4.46
Q4WV38,2.7.4.2
A0A1D8PLH0,2.7.4.2
I1RZD0,2.7.4.2
P24521,2.7.4.2
Q9KWG3,2.7.4.2
A1SSJ9,1.3.1.9
A8GD62,1.3.1.9
C5BQC9,1.3.1.9
A0B3G1,1.3.1.9
Q6LP67,1.3.1.9
Q2QM00,5.6.2.2
Q9WTK8,5.6.2.2
O29322,5.6.2.2
A0A0J9WZF0,5.6.2.2
P22447,5.6.2.2
A1C9D4,3.1.1.73
Q7RWX8,3.1.1.73
Q9Y871,3.1.1.73
G2QND5,3.1.1.73
Q9HGR3,3.1.1.73
Q59940,1.1.1.42
P39126,1.1.1.42
D4GU92,1.1.1.42
P56063,1.1.1.42
O14254,1.1.1.42
P0CX77,3.5.1.1
O34482,3.5.1.1
Q9RRX9,3.5.1.1
P9WPX5,3.5.1.1
P50286,3.5.1.1
P9WK19,3.4.11.18
P57324,3.4.11.18
P53582,3.4.11.18
O59730,3.4.11.18
Q9FV50,3.4.11.18
Q8P1N3,3.4.13.19
Q8G6Z9,3.4.13.19
P0DD26,3.4.13.19
Q48841,3.4.13.19
Q9CFC3,3.4.13.19
A1RS58,1.1.1.37
Q9V0D5,1.1.1.37
C0R4Y0,1.1.1.37
Q9PHY2,1.1.1.37
C4K2E2,1.1.1.37
Q5F4A1,2.3.2.26
Q5RJY2,2.3.2.26
Q3T1H6,2.3.2.26
Q8ZNR3,2.3.2.26
Q7Z6J8,2.3.2.26
Q6FXN3,3.1.3.84
A3LZD1,3.1.3.84
Q6CHN5,3.1.3.84
Q5A1V3,3.1.3.84
A1D1B7,3.1.3.84
P9WK16,2.3.3.9
Q8T2K9,2.3.3.9
P21826,2.3.3.9
Q5YWU1,2.3.3.9
Q87Z72,2.3.3.9
Q54E83,6.3.2.3
O22494,6.3.2.3
P35669,6.3.2.3
P46416,6.3.2.3
P46413,6.3.2.3
Q5LIC7,3.2.1.31
Q4FAT7,3.2.1.31
T2KN75,3.2.1.31
T2KPJ7,3.2.1.31
Q8E0N2,3.2.1.31
P37940,1.2.4.4
Q5SLR4,1.2.4.4
O45924,1.2.4.4
P11178,1.2.4.4
Q9LPL5,1.2.4.4
B1AJ73,3.5.1.5
B8HA07,3.5.1.5
C5BUP0,3.5.1.5
P9WFF1,3.5.1.5
P94668,3.5.1.5
Q9C8D1,2.3.2.27
O81851,2.3.2.27
P32511,2.3.2.27
Q94B55,2.3.2.27
Q9SY88,2.3.2.27
A2SQH8,2.7.7.2
D5VUB0,2.7.7.2
Q2NHB2,2.7.7.2
D5EBS7,2.7.7.2
D2RES5,2.7.7.2
Q0SPE9,2.7.1.48
B9DNJ4,2.7.1.48
A0Q140,2.7.1.48
A0AIU6,2.7.1.48
B1IC10,2.7.1.48
P57212,2.5.1.9
Q9Z820,2.5.1.9
P0AFU8,2.5.1.9
P50854,2.5.1.9
P45273,2.5.1.9
P53218,3.1.26.5
Q46BE1,3.1.26.5
Q58360,3.1.26.5
Q8TZS0,3.1.26.5
Q5V059,3.1.26.5
B9KXN0,4.1.1.50
A4G0Y9,4.1.1.50
Q8K9T6,4.1.1.50
A5N8H9,4.1.1.50
P0C0A0,4.1.1.50
Q9AV39,4.1.99.5
B8B4W4,4.1.99.5
Q6ETL8,4.1.99.5
Q69PA8,4.1.99.5
Q69L93,4.1.99.5
Q9Z2B1,3.2.2.6
P13504,3.2.2.6
Q9ERS7,3.2.2.6
Q86DA5,3.2.2.6
P59824,3.2.2.6
Q9RVC3,3.5.2.3
Q1AVY7,3.5.2.3
Q2LVI3,3.5.2.3
Q7UNR2,3.5.2.3
Q18C47,3.5.2.3
Q3AET1,2.3.1.181
B9E6R6,2.3.1.181
C0ZBW9,2.3.1.181
Q8ERL9,2.3.1.181
Q67N40,2.3.1.181
Q892D0,4.3.1.7
B0RS35,4.3.1.7
Q0TSP9,4.3.1.7
Q834L8,4.3.1.7
Q97FL9,4.3.1.7
Q57956,1.2.7.3
O29779,1.2.7.3
O27114,1.2.7.3
O53182,1.2.7.3
O29781,1.2.7.3
B2S3N6,6.1.1.11
Q6F2A0,6.1.1.11
A5FX43,6.1.1.11
Q6KIJ8,6.1.1.11
A1A0B7,6.1.1.11
Q8DLN9,4.2.1.20
A8Z5Y2,4.2.1.20
A0AZ71,4.2.1.20
P50382,4.2.1.20
A1WY05,4.2.1.20
P9WIS9,1.2.4.1
Q0J0H4,1.2.4.1
P35488,1.2.4.1
Q4UKQ7,1.2.4.1
A2CI50,1.2.4.1
D2CSU4,5.4.99.5
Q9S7H4,5.4.99.5
Q84FH6,5.4.99.5
P42738,5.4.99.5
B4FUP5,5.4.99.5
Q7NFT5,1.97.1.12
Q9XQV2,1.97.1.12
P05310,1.97.1.12
Q7NFT6,1.97.1.12
A2CC73,1.97.1.12
P24873,7.1.1.2
Q36460,7.1.1.2
Q94VK0,7.1.1.2
Q70UT9,7.1.1.2
P12773,7.1.1.2
P52478,2.3.2.23
O13685,2.3.2.23
Q86K32,2.3.2.23
Q95LM1,2.3.2.23
F4HPP7,2.3.2.23
G5ED68,3.1.3.64
Q9EP69,3.1.3.64
P32368,3.1.3.64
Q9W0I6,3.1.3.64
P47147,3.1.3.64
P9WFV7,6.1.1.14
A2SL95,6.1.1.14
Q65R50,6.1.1.14
Q6AHF7,6.1.1.14
C4XS53,6.1.1.14
P47180,3.2.1.15
Q5B508,3.2.1.15
Q5ATQ3,3.2.1.15
P26214,3.2.1.15
Q12708,3.2.1.15
A1U339,2.7.7.7
P30318,2.7.7.7
Q8FW50,2.7.7.7
O08307,2.7.7.7
Q8K983,2.7.7.7
P54202,1.1.1.1
P9WQC7,1.1.1.1
P00332,1.1.1.1
N4WW42,1.1.1.1
P86883,1.1.1.1
Q556F2,3.2.1.17
P16009,3.2.1.17
P37161,3.2.1.17
P11941,3.2.1.17
P48816,3.2.1.17
Q2FN14,2.5.1.6
O30186,2.5.1.6
B6YUL1,2.5.1.6
A0B742,2.5.1.6
Q12WC8,2.5.1.6
Q9ZV56,2.7.7.15
O74975,2.7.7.15
Q811Q9,2.7.7.15
P49583,2.7.7.15
P19836,2.7.7.15
P07191,3.2.1.20
Q9Z3R8,3.2.1.20
Q9AI65,3.2.1.20
P13080,3.2.1.20
P43473,3.2.1.20
Q5SKC5,3.2.2.27
Q8ZYS2,3.2.2.27
O28007,3.2.2.27
Q9WYY1,3.2.2.27
Q96YD0,3.2.2.27
Q838U8,2.4.2.31
A0KJB0,2.4.2.31
Q38424,2.4.2.31
A2PU44,2.4.2.31
P39423,2.4.2.31
B1YJZ8,6.1.1.20
Q3ABT4,6.1.1.20
A9KHY1,6.1.1.20
Q0C530,6.1.1.20
A9H167,6.1.1.20
Q38XI1,5.4.2.7
Q97HE6,5.4.2.7
B9DKM0,5.4.2.7
Q67ND8,5.4.2.7
C0ZC50,5.4.2.7
A4G8D5,4.98.1.1
Q7N0P6,4.98.1.1
Q47HJ6,4.98.1.1
Q12KR9,4.98.1.1
B2RHB4,4.98.1.1
A5WDP0,2.5.1.3
Q3K1L6,2.5.1.3
A5VKA1,2.5.1.3
B2GBV5,2.5.1.3
A7IGG9,2.5.1.3
Q8K9N9,3.1.1.31
Q492W6,3.1.1.31
A4TNQ8,3.1.1.31
O34499,3.1.1.31
T2KMF9,3.1.1.31
P21220,4.2.1.84
Q7SID3,4.2.1.84
Q53117,4.2.1.84
P13449,4.2.1.84
P97052,4.2.1.84
Q9UVX1,3.1.1.5
O93795,3.1.1.5
D4ANV2,3.1.1.5
O42790,3.1.1.5
Q7M3V4,3.1.1.5
Q8R2Y8,3.1.1.29
Q97CB4,3.1.1.29
Q8ZYM4,3.1.1.29
Q12WH8,3.1.1.29
Q14197,3.1.1.29
Q0AFF1,6.2.1.1
Q82EL5,6.2.1.1
Q9CMW1,6.2.1.1
Q2LW77,6.2.1.1
Q1AXQ5,6.2.1.1
C6H178,3.2.1.23
Q48727,3.2.1.23
Q8D4H3,3.2.1.23
A6T8X0,3.2.1.23
O69315,3.2.1.23
P00900,4.1.3.27
P00902,4.1.3.27
P06558,4.1.3.27
P09786,4.1.3.27
Q06129,4.1.3.27
Q9U3X4,1.3.5.1
P00363,1.3.5.1
P31038,1.3.5.1
O82663,1.3.5.1
Q59661,1.3.5.1
P27363,2.7.1.21
P33802,2.7.1.21
P28855,2.7.1.21
Q9E6P5,2.7.1.21
P09250,2.7.1.21
P95189,3.1.3.15
Q9I6F6,3.1.3.15
P56160,3.1.3.15
P0DV34,3.1.3.15
Q8NS80,3.1.3.15
Q6CQL7,5.3.1.16
Q9HFV5,5.3.1.16
P40545,5.3.1.16
Q7RXQ8,5.3.1.16
O82782,5.3.1.16
Q9SHJ0,3.1.13.4
Q9LXM2,3.1.13.4
Q17345,3.1.13.4
Q9C2R2,3.1.13.4
Q9LS39,3.1.13.4
B8N7S7,3.2.1.6
Q4X084,3.2.1.6
A1C7B5,3.2.1.6
Q5BAP5,3.2.1.6
A2QBQ3,3.2.1.6
B3E7P9,3.5.1.44
A5F1A0,3.5.1.44
Q2INJ4,3.5.1.44
A4FXW1,3.5.1.44
Q5WFS5,3.5.1.44
Q9HN21,5.4.99.1
P61191,5.4.99.1
Q8RHY7,5.4.99.1
Q5V467,5.4.99.1
Q5V3F0,5.4.99.1
P52496,6.5.1.1
Q08387,6.5.1.1
A5UKX2,6.5.1.1
Q54CR9,6.5.1.1
Q9C1W9,6.5.1.1
P79023,2.5.1.54
P44303,2.5.1.54
P14843,2.5.1.54
Q9WYH8,2.5.1.54
P46245,2.5.1.54
P16687,2.7.8.37
Q52986,2.7.8.37
Q52984,2.7.8.37
P16679,2.7.8.37
P16685,2.7.8.37
Q55535,3.1.3.48
A5D7P0,3.1.3.48
P30310,3.1.3.48
Q10038,3.1.3.48
O52787,3.1.3.48
Q6C783,2.7.7.50
P40997,2.7.7.50
Q6BT58,2.7.7.50
Q7SB53,2.7.7.50
P78587,2.7.7.50
A4XCT1,6.3.4.19
Q5Z2W1,6.3.4.19
Q3KH95,6.3.4.19
Q9A3H7,6.3.4.19
C1BA63,6.3.4.19
B0R2Q7,2.7.7.72
P77978,2.7.7.72
Q8TH22,2.7.7.72
Q973E7,2.7.7.72
A7I912,2.7.7.72
A1VF73,5.4.99.12
Q8NSV0,5.4.99.12
Q492H3,5.4.99.12
Q6MQH6,5.4.99.12
Q6A6S8,5.4.99.12
P81942,2.5.1.18
O15217,2.5.1.18
Q6AXY0,2.5.1.18
Q09652,2.5.1.18
P46419,2.5.1.18
A1JHV9,6.5.1.2
C1DIC2,6.5.1.2
A4XPF7,6.5.1.2
Q1QXD7,6.5.1.2
B7UM69,6.5.1.2
B3QZE2,1.3.7.7
Q28W37,1.3.7.7
Q132N5,1.3.7.7
P36437,1.3.7.7
B0TBM6,1.3.7.7
G5EBV6,4.6.1.24
Q9TZQ3,4.6.1.24
P30289,4.6.1.24
E3M3V1,4.6.1.24
P05798,4.6.1.24
Q84JL5,3.2.1.26
Q10MC0,3.2.1.26
Q9SW48,3.2.1.26
F8DT27,3.2.1.26
Q9FK88,3.2.1.26
P54555,4.3.1.18
A6V271,4.3.1.18
A5W4Y8,4.3.1.18
A8GES6,4.3.1.18
Q5WGL6,4.3.1.18
P86926,6.5.1.3
Q5PR55,6.5.1.3
Q8BHN7,6.5.1.3
P32277,6.5.1.3
Q10313,6.5.1.3
A0M2G0,1.4.3.5
P38075,1.4.3.5
Q31IR4,1.4.3.5
Q73G09,1.4.3.5
Q5FPH2,1.4.3.5
P83589,1.1.1.35
P00348,1.1.1.35
P34439,1.1.1.35
P41938,1.1.1.35
Q0AVM2,1.1.1.35
Q9RXR4,4.1.1.19
Q7VEG4,4.1.1.19
A0A1S3YCW2,4.1.1.19
A8AAB6,4.1.1.19
Q7UTS2,4.1.1.19
P29599,3.4.21.62
P28842,3.4.21.62
P09230,3.4.21.62
P00782,3.4.21.62
Q5JIZ5,3.4.21.62
Q0DWC7,2.7.13.3
P94438,2.7.13.3
P44604,2.7.13.3
P55183,2.7.13.3
O31516,2.7.13.3
P71013,3.4.21.89
Q8H0W1,3.4.21.89
P41027,3.4.21.89
P57347,3.4.21.89
P0A070,3.4.21.89
Q9I4D3,1.13.11.24
Q5M827,1.13.11.24
Q9I163,1.13.11.24
P73623,1.13.11.24
Q9I4C8,1.13.11.24
Q927E6,2.7.1.121
Q92EU3,2.7.1.121
Q92EU2,2.7.1.121
Q9CIV7,2.7.1.121
P76015,2.7.1.121
Q7S724,3.1.4.37
O04147,3.1.4.37
P53314,3.1.4.37
Q59PZ7,3.1.4.37
Q0UME8,3.1.4.37
Q5BCC5,4.2.1.1
O24855,4.2.1.1
P43166,4.2.1.1
O94255,4.2.1.1
Q16790,4.2.1.1
Q5BMR2,3.1.4.4
Q54Z25,3.1.4.4
Q54K50,3.1.4.4
P93844,3.1.4.4
Q9C5Y0,3.1.4.4
P10901,3.2.1.51
Q9VTJ4,3.2.1.51
Q8GW72,3.2.1.51
Q7XUR3,3.2.1.51
Q9BTY2,3.2.1.51
Q2FSD3,2.4.2.8
F4BT36,2.4.2.8
D3S8C7,2.4.2.8
E3GW42,2.4.2.8
A0B870,2.4.2.8
Q4L941,1.1.1.27
O52354,1.1.1.27
P62050,1.1.1.27
Q7SI97,1.1.1.27
Q9K5Z8,1.1.1.27
P21439,7.6.2.1
O95477,7.6.2.1
O35600,7.6.2.1
Q8IZY2,7.6.2.1
E9Q876,7.6.2.1
P30007,3.6.1.23
Q65199,3.6.1.23
Q9PKA2,3.6.1.23
P89079,3.6.1.23
B0R858,3.6.1.23
Q743F4,1.11.1.7
Q9VEG6,1.11.1.7
Q23490,1.11.1.7
Q7QH73,1.11.1.7
Q20616,1.11.1.7
Q13BB8,3.5.1.2
O31465,3.5.1.2
P77454,3.5.1.2
Q19013,3.5.1.2
Q1I8G2,3.5.1.2
O59952,3.1.1.3
I1RFN8,3.1.1.3
Q9QZH8,3.1.1.3
O14115,3.1.1.3
Q4PHZ2,3.1.1.3
Q9FJ73,2.3.1.75
Q3ED15,2.3.1.75
Q9FJ78,2.3.1.75
Q9FJ72,2.3.1.75
Q9FJ76,2.3.1.75
Q9L3Q5,1.11.1.24
A0A0K3AUJ9,1.11.1.24
Q8SS85,1.11.1.24
Q91191,1.11.1.24
Q9V3P0,1.11.1.24
Q9ZUI0,2.7.11.1
P34208,2.7.11.1
Q9TZM3,2.7.11.1
Q9STF0,2.7.11.1
Q0KHV6,2.7.11.1
P63493,3.5.1.4
Q9URY4,3.5.1.4
Q55424,3.5.1.4
P9WEP6,3.5.1.4
Q9L543,3.5.1.4
P36912,3.2.1.96
P36911,3.2.1.96
B7GPC7,3.2.1.96
Q99Y92,3.2.1.96
P36913,3.2.1.96
A5ULG2,2.7.1.71
Q12XK2,2.7.1.71
A4FZL8,2.7.1.71
Q0W4U0,2.7.1.71
O29730,2.7.1.71
I3R7F2,6.4.1.3
I3R7F1,6.4.1.3
Q06101,6.4.1.3
P54541,6.4.1.3
P53003,6.4.1.3
B3EU20,2.1.3.15
Q6MEK6,2.1.3.15
A7M907,2.1.3.15
Q3A6L1,2.1.3.15
Q0VPJ1,2.1.3.15
P43957,7.2.1.1
Q823P5,7.2.1.1
Q57095,7.2.1.1
Q9ZC45,7.2.1.1
Q604Z9,7.2.1.1
P77580,1.2.1.10
C1AVG3,1.2.1.10
A8LAA2,1.2.1.10
B1MJT8,1.2.1.10
A1TDB8,1.2.1.10
P11663,4.2.1.2
Q4QAU9,4.2.1.2
E9AE57,4.2.1.2
P0A1T4,4.2.1.2
Q04718,4.2.1.2
P41606,2.7.7.6
Q0SS74,2.7.7.6
P04051,2.7.7.6
P69242,2.7.7.6
A1KCL2,2.7.7.6
B5YH69,2.7.4.25
B3QSU1,2.7.4.25
Q9EWW6,2.7.4.25
A8LSF1,2.7.4.25
Q1IW70,2.7.4.25
Q9GP32,4.1.2.13
P22197,4.1.2.13
P0A991,4.1.2.13
A5IW31,4.1.2.13
Q9SJU4,4.1.2.13
Q7MQ88,4.1.3.40
Q0K6Y1,4.1.3.40
Q0VTA8,4.1.3.40
A1T086,4.1.3.40
Q8ZJ20,4.1.3.40
Q99638,3.1.11.2
G5EC44,3.1.11.2
P14746,3.1.11.2
Q91XB0,3.1.11.2
